threshold,precision,recall,f1
0.1,0.018637592023110616,0.9411764705882353,0.03655137753004066
0.15,0.02519280205655527,0.9223529411764706,0.04904598060681889
0.2,0.033523414549853116,0.9129411764705883,0.06467205600466705
0.25,0.04368264159596423,0.8964705882352941,0.08330600196785831
0.3,0.05710832452032029,0.8894117647058823,0.10732538330494037
0.35,0.07241850478235409,0.8729411764705882,0.13374188896899783
0.4,0.0916791230692576,0.8658823529411764,0.16580310880829016
0.45,0.11553030303030302,0.8611764705882353,0.20372947397717783
0.5,0.14789020893076607,0.8494117647058823,0.25191905094207956
0.55,0.1850104821802935,0.8305882352941176,0.30261465923703385
0.6,0.2340710932260228,0.8211764705882353,0.36430062630480164
0.65,0.294017094017094,0.8094117647058824,0.43134796238244516
0.7,0.3808988764044944,0.7976470588235294,0.5155893536121673
0.75,0.47124824684431976,0.7905882352941176,0.5905096660808435
0.8,0.5787610619469027,0.7694117647058824,0.6606060606060606
0.85,0.7053571428571429,0.7435294117647059,0.7239404352806414
0.9,0.8095238095238095,0.72,0.7621419676214197
