threshold,precision,recall,f1
0.1,0.9259259259259259,1.0,0.9615384615384616
0.15,0.9259259259259259,1.0,0.9615384615384616
0.2,0.9375,1.0,0.967741935483871
0.25,0.9375,1.0,0.967741935483871
0.3,0.9493670886075949,1.0,0.974025974025974
0.35,0.9615384615384616,1.0,0.9803921568627451
0.4,0.974025974025974,1.0,0.9868421052631579
0.45,0.974025974025974,1.0,0.9868421052631579
0.5,0.9868421052631579,1.0,0.9933774834437086
0.55,0.9868421052631579,1.0,0.9933774834437086
0.6,0.9868421052631579,1.0,0.9933774834437086
0.65,0.9868421052631579,1.0,0.9933774834437086
0.7,0.9868421052631579,1.0,0.9933774834437086
0.75,0.9868421052631579,1.0,0.9933774834437086
0.8,0.9868421052631579,1.0,0.9933774834437086
0.85,0.9868421052631579,1.0,0.9933774834437086
0.9,0.9868421052631579,1.0,0.9933774834437086
