model,threshold,cv_pr_auc,test_precision,test_recall,test_f1,test_pr_auc,test_roc_auc
Logistic Regression,0.9,0.716577247942156,0.7941176470588235,0.72,0.7552447552447552,0.7877462805145571,0.9685423120089787
Random Forest,0.35,0.6820380932932975,0.7971014492753623,0.7333333333333333,0.7638888888888888,0.7881980901216156,0.9646006734006733
Gradient Boosting,0.9,0.66412562539923,0.7162162162162162,0.7066666666666667,0.7114093959731543,0.7516735269400259,0.9661683501683502
Majority baseline,0.1,0.01,0.0,0.0,0.0,0.01,0.5
